Title,Abstract,Journal,Publishing Date,DOI,Probability of Inclusion
Technological implementation in the service sector: A case study,"The service industry is a crucial industry recognized as the biggest of the three sectors of the economy. Implementing technology in this industry has been the driving force for industrial advancement. In contrast, this industry's disproportionate adoption of technology explains the disparity between developing and developed worlds. Artificial intelligence (AI) has been recognized as the newest technology disrupting and driving innovation in the service industry, with the quest for superior business experience and customer service driving its adoption. However, AI is not the only technology driving transformations in the service industry but also a constituent of innovative technologies, such as search, chatbots, cloud computing, augmented reality (AR) and virtual reality (VR), mobile, social, and the IoT. In addition, this chapter advocates for the fourth component of cloud computing to be named diversity as a service (DaaS). Technology is the most significant enabler of globalization. Globalization is the most fantastic driver of diversities-creating opportunities, virtual, and physical, for people from different cultural, religious, racial, geographical, and other backgrounds to interact. However, this confluence of diversities is leading to unsavory human experiences giving rise to racial protests, gender inequalities, underrepresentation of ethnic minorities, and others. However, implementing technology in diversity management could be the elixir to these problems. The chapter seeks to explore the implications of technology implementation in the service industry to ascertain whether the economic impact of technology in the service industry influences its adoption and how to encourage technology adoption in the service industry. The chapter also analyzes whether technology implementation in the service sector is economical to provide organizations with a decision-making tool for further exploring the industry and making experimental projections of technology's prognosis in the service industry to encourage research and scientific activity. This is because many or most of the literature on AI are projections, simulations, and assumptions emphasizing how the implementation of AI will increase unemployment and change the labor landscape in ways that may not be familiar to many. We adapted the core generalizations from some of these reports to evaluate these projections. Academic and research reports from the sciences, engineering, and medicine on information technology (IT) and the U.S. workforce into an analytical framework because it embodies the core assumptions of most of the literature on the subject. We then used the analytical framework to analyze secondary data from those who have implemented these technologies to see whether the implementation of technology in the service sector was economical or not and whether economic factors affected the adoption of the technology. Finally, we explored possible extensions of existing knowledge as experimental projections to encourage further research. Furthermore, the chapter explored three critical sectors of the service industry as case studies, including the Healthcare, Logistics, and Entertainment sectors, and attempted an economic analysis of the implementation of technology in these sectors and projected experimental investigation of the consequences of implementing technology in these sectors in the future. It was noticed that the implementation of technology in the service industry is gaining increased adoption with signs of growing adoption into the future. Economically, the performance of technology increases productivity, lowers costs, and transforms the way work is done and changes the labor landscape, with machines gaining greater involvement and acceptance as co-workers with human counterparts. This shows the economic benefits of implementing technology in the service sector in increasing its adoption. Most importantly, it was established that different levels of education, not technology, are the causes of income inequalities. Generally, the implementation of technology increases the efficiency and effectiveness of service delivery in these sectors, leading to labor efficiency, increased productivity, and cost-effectiveness. Experimentally, the chapter projects that we are entering the era of flying cargoes and rocket-like cargo ships. The chapter concludes with claims that though machines will see greater adoption in the entertainment industry, they will not substitute human creativity in serving entertainment, and humans will always cherish entertainment served by humans and treat machine-generated entertainment as fiction.",Artificial Intelligence for Smart Technology in the Hospitality and Tourism Industry,2024-07-05,,0.9999411732781487
Develop the healthcare logistics service with kano model,"With the advancement of information and communication technologies in the healthcare industry and the strong growth in the sales of temperature sensitive healthcare products, the demand for cold chain logistics service has increased greatly in recent years. Therefore, developing an effective logistics service model for cold chain logistics is essential to help enterprises improve logistics quality and reduce cost. This study aims at applying the five dimensions of service quality (SERVQUAL) model to construct the service elements that customers are concerned about, and then applied the Kano model to categorize the service elements. For analyzing customers’ needs, primary data were collected from a survey administered to respondents who have used a logistics service for healthcare products. Through the convenient sampling, a total of 101 effective paper-based survey questionnaires were received for analysis. From the classification results, 2 service elements are classified as attractive elements, 8 service elements are classified as must-be elements, 15 services elements are classified as one-dimensional elements, 1 service elements is classified as an indifferent element, and no service elements are classified as reverse element in this study. Specifically, this study identified the service elements that need to be modified in the future pursuit of a more innovative service model, to develop a new cold chain logistics service for healthcare that better satisfies customers and creates and maintains a competitive advantage. Practitioners and researchers in the field of cold chain logistics may refer to this study’s findings of customers’ needs and classified service elements with the Kano model to assist in developing new logistics service model.",Journal of Quality,2019-01-01,10.6220/joq.201902_26(1).0001,0.9990019866758982
A systematic literature review of simulation models for non-technical skill training in healthcare logistics,"Background: Resource allocation in patient care relies heavily on individual judgements of healthcare professionals. Such professionals perform coordinating functions by managing the timing and execution of a multitude of care processes for multiple patients. Based on advances in simulation, new technologies that could be used for establishing realistic representations have been developed. These simulations can be used to facilitate understanding of various situations, coordination training and education in logistics, decision-making processes, and design aspects of the healthcare system. However, no study in the literature has synthesized the types of simulations models available for non-technical skills training and coordination of care. Methods: A systematic literature review, following the PRISMA guidelines, was performed to identify simulation models that could be used for training individuals in operative logistical coordination that occurs on a daily basis. This article reviewed papers of simulation in healthcare logistics presented in the Web of Science Core Collections, ACM digital library, and JSTOR databases. We conducted a screening process to gather relevant papers as the knowledge foundation of our literature study. The screening process involved a query-based identification of papers and an assessment of relevance and quality. Results: Two hundred ninety-four papers met the inclusion criteria. The review showed that different types of simulation models can be used for constructing scenarios for addressing different types of problems, primarily for training and education sessions. The papers identified were classified according to their utilized paradigm and focus areas. (1) Discrete-event simulation in single-category and single-unit scenarios formed the most dominant approach to developing healthcare simulations and dominated all other categories by a large margin. (2) As we approached a systems perspective (cross-departmental and cross-institutional), discrete-event simulation became less popular and is complemented by system dynamics or hybrid modeling. (3) Agent-based simulations and participatory simulations have increased in absolute terms, but the share of these modeling techniques among all simulations in this field remains low. Conclusions: An extensive study analyzing the literature on simulation in healthcare logistics indicates a growth in the number of examples demonstrating how simulation can be used in healthcare settings. Results show that the majority of studies create situations in which non-technical skills of managers, coordinators, and decision makers can be trained. However, more system-level and complex system-based approaches are limited and use methods other than discrete-event simulation.",Advances in Simulation,2018-12-01,10.1186/s41077-018-0072-7,0.9925651683091061
Outsourcing strategies and distribution models in Italian Pharma Supply Chain,"In the pharmaceutical supply chain, all players have to ensure the highest level of service while containing costs, because of the ethical issues concerning drugs. The outsourcing of logistics should be recognized as a competitive lever, especially in this complex and highly regulated industry. Based on these premises, the research objective of this study is to investigate the relationship between the outsourcing strategies of manufacturers and the logistics services offered by Third-Party Logistics Service providers (3PLs). To achieve this objective, a multiple case study was designed to analyse the different physical distribution models adopted by pharmaceutical companies. We collected qualitative data and the subjective perceptions of several logistics directors, conducting structured interviews with 11 pharmaceutical companies and six 3PLs. We have identified three physical distribution models, on the basis of the number and location of the warehouses used (single warehouse, dual warehouse and multi-warehouse models). We discovered that there is a strict relationship between the physical distribution model adopted by pharmaceutical companies and their features (i.e. the main distribution channel, product portfolio, target service level, transport and warehousing costs and other company related issues). Our research also offers an empirical insight into the key logistic services that 3PLs should offer within the pharma industry. In conclusion, the study draws a roadmap to guide pharmaceutical companies in their strategic logistics decisions in Italy, while also considering possible future trends deriving from changes to European regulations.","Proceedings - 2017 IEEE International Conference on Service Operations and Logistics, and Informatics, SOLI 2017",2017-11-27,10.1109/SOLI.2017.8120990,0.9885820291445474
Stochastic medical tourism problem with variable residence time considering gravity function,"Medical tourism is a recent term in healthcare logistics referring to travel of patients to receive health services and spending leisure time in a destination country. This transferring of patients leads to access high-quality health services which are cheaper than the original country of patients. During this travel, passengers who are the patients from another country, have this opportunity for complimentary entertainment packages (e.g., pleasure tours) in the aftercare period. As far as we know, the term of medical tourism is rarely studied in healthcare logistics and such services are highly important for developing countries. Such facts motivate us to develop a practical optimization model for the Medical Tour Centers (MTCs) for allocation of patients to hospitals in proper time and creation of memorable aftercare time for them. In this regard, the main aim of the proposed model is to maximize the total profit of MTCs through optimal allocation of patients to hospitals while considering an aftercare tour for the passengers. To make the proposed model more realistic, the optimal residence time in attractive places is simulated by a time-dependent gravity function. To address the uncertainty of medical tourism problem, a scenario-based two-stage stochastic optimization approach is extended to encounter different sources of uncertainty existing in surgical success, medical time, restoration restrictions, and the attraction of tourist places. Another novelty of this work is to propose an innovative hybrid meta-heuristic for large-scale instances, which is a combination of Progressive Hedging Algorithm (PHA) and Genetic Algorithm (GA). The model is analyzed by different test problems for small, medium, and large-scale instances where the hybrid meta-heuristic algorithm could solve them with an average gap of 3.4% in comparison with the commercial solver. The results revealed the importance of tourist opinion and public preferences in medical and pleasure tours, respectively, to improve the economic growth in this sector in developing countries.",RAIRO - Operations Research,2022-05-01,10.1051/ro/2022082,0.9804136508119959
The future of asset management,"Deming was famous for asking people, ""By What Method?"" an objective would be accomplished. Any useful concept has embedded in it the answer to that question. Asset management, to be a valuable concept, must demonstrate a method that leads to success. The method should be inclusive of all the necessary elements, yet be simple to understand. We present a broader view of asset management here, built upon three core operating functions: Lead, Execute and Enable. The execute function is always performed in the plant environment. Manufacturing success is relative to the competition however. Whoever can make the best products at the lowest cost will win. Lead and enable are the great determinants of that relative success. In addition, physical asset management has an identity crisis. Most practitioners use the term synonymously with the maintenance function. Asset Management's opportunity, however, goes beyond maintenance to be a guiding principal for all of manufacturing. This paper explores the four integrated facets of the Execute function in the plant: Capacity acquisition and disposition Production Asset Healthcare Logistics Our model, then, represents the future of asset management, suggesting ""The Method"", necessary elements for successful manufacturing.",TAPPI Fall Technical Conference,2004-12-01,,0.979845463816951
Healthcare services: A systematic review of patient-centric logistics issues using simulation,"Healthcare has material-centric external and patient-centric internal logistics. Researchers widely use simulation approaches to model healthcare internal logistics due to the problem complexity. There is a need to map the existing knowledge base to systematically identify the emerging research themes of this domain. This work presents a systematic literature review to identify the patient-centric logistics issues in healthcare modelled using simulation. In all, 583 papers published from 2008 to 2017 in the Clarivate Analytics Web of Science database have been collected; 238 articles were shortlisted for the review. Using keyword co-occurrence and cluster analysis, thirteen research clusters are identified, with eight of them central to the research domain and deserving further attention. Among the simulation approaches, discrete event simulation is most prevalent followed by hybrid approaches (that use two or more simulation techniques or simulation combined with analytical methods), system dynamics, agent-based simulation, and Monte Carlo simulation.",Journal of the Operational Research Society,2021-01-01,10.1080/01605682.2020.1790306,0.9766957128516808
Mathematical model and exact algorithm for the home care worker scheduling and routing problem with lunch break requirements,"Home health care or home care (HHC/HC) refers to the delivery of social, medical and paramedical services to clients in their own homes. Each day, care workers start from the HHC/HC centre, visit some clients and return to the centre. During the service delivery process, there is usually a lunch break for each worker. In this paper, we address a real-life home care worker scheduling and routing problem with the consideration of lunch break requirements. A three-index mathematical model is constructed for the problem. The problem is decomposed into a master problem and several pricing sub-problems, and is optimally solved by a branch-and-price (B&P) algorithm. Specifically, a sophisticated label-correcting algorithm is designed to address lunch break constraints in pricing sub-problems; some cutting-edge acceleration strategies are applied during the column generation process. Experimental results show that the proposed B&P algorithm is able to produce satisfied solutions within an acceptable runtime and outperforms the mixed integer programming solver CPLEX.",International Journal of Production Research,2017-01-17,10.1080/00207543.2016.1213917,0.9640969017680936
DEEP LEARNING FOR THE PREDICTION OF TRANS-BORDER LOGISTICS OF PATIENTS TO MEDICAL CENTERS,"Background: Covid 19 impacted many healthcare logistics systems. An enormous number of people suffer from the effect of a pandemic, infection diseases can spread rapidly within and between countries. People from the Kingdom of Cambodia and the Lao People's Democratic Republic are most likely to cross-border into Thailand for diagnosis and special treatment. In this situation, international referral cannot predict the volume of patients and their destination. Therefore, the aim of the research is to use deep learning to construct a model that predicts the travel demand of patients at the border. Methods: Based on previous emergency medical services, the prediction demand used the gravity model or the regression model. The novelty element in this research paper uses the neural network technique. In this study, a two-stage survey is used to collect data. The first phase interviews experts from the strategic group level of The Public Health Office. The second phase examines the patient?s behavior regarding route selection using a survey. The methodology uses deep learning training using the Sigmoid function and Identity function. The statistics of precision include the average percent relative error (APRE), the root mean square error (RMSE), the standard deviation (SD), and the correlation coefficient (R). Results: Deep learning is suitable for complex problems as a network. The model allows the different data sets to forecast the demand for the cross-border patient for each hospital. Equations are applied to forecast demand, in which the different hospitals require a total of 58,000 patients per year to be diagnosed by the different hospitals. The predictor performs better than the RBF and regression model. Conclusions: The novelty element of this research uses the deep learning technique as an efficient nonlinear model; moreover, it is suitable for dynamic prediction. The main advantage is to apply this model to predict the number of patients, which is the key to determining the supply chain of treatment; additionally, the ability to formulate guidelines with healthcare logistics effectively in the future.",Logforum,2022-01-01,10.17270/J.LOG.2022.689,0.9517485412039394
Patient journey modeling using integrated data structures in healthcare service operations,"Improving patient flow and patient satisfaction have attracted considerable interest in recent years. Recognizing the need for taking a holistic approach to improving healthcare service operations, this paper presents an integrated framework for patient journey modeling from admission through to discharge. The proposed framework enhances the capability of service delivery systems to cope with the uncertainty associated with planning and scheduling of healthcare service operations towards achieving the desired patient flow and satisfaction levels. The patient journey model developed based on the unitary structuring technique is illustrated using a selected healthcare scenario, identifying the patient flow with process and data elements, as well as information flows. It is shown that integration of processes, data elements, information flows and relationships enables modeling of patient journey for improving patient flow and satisfaction through effective and efficient planning of healthcare logistics. This patient journey model can be implemented in an enterprise resource planning system environment, as a software tool, for monitoring patient flow in real-time. © 2011 IEEE.","2011 IEEE Colloquium on Humanities, Science and Engineering, CHUSER 2011",2011-12-01,10.1109/CHUSER.2011.6163802,0.9511259202099727
