Title,Abstract,Journal,Publishing Date,DOI
Investigating the Impact of Drone Transport on the Stability of Monoclonal Antibodies for Inter-Hospital Transportation,"In the field of healthcare logistics, the reliance on conventional transport methods such as cars for the delivery of monoclonal antibodies (mAbs) is susceptible to challenges posed by traffic and infrastructure, leading to increased and unpredictable transport times. Recognizing the potential role of drones in mitigating these challenges, we aimed to investigate the impact of medical drone transport on the stability of mAbs. Compromised stability could lead to aggregation and immunogenicity, thereby jeopardizing the efficacy and safety of mAbs. We studied the transportation of vials as well as ready-to-administer infusion bags with blinatumomab, tocilizumab, and daratumumab. The methodology involved the measurement of both temperature and mechanical shock during drone transport. Moreover, the analytical techniques High Performance Size-Exclusion Chromatography (HP-SEC), Dynamic Light Scattering (DLS), Light Obscuration (LO), Micro-Flow Imaging (MFI), and Nanoparticle Tracking Analysis (NTA) were employed to comprehensively assess the presence of aggregates and particle formation. The key findings revealed no significant differences between car and drone transport, indicating that the stability of mAbs in both vials and infusion bags was adequately maintained during drone transport. This suggests that medical drones are a viable and reliable means for the inter-hospital transport of mAbs, paving the way for more efficient and predictable logistics in healthcare delivery.",Journal of Pharmaceutical Sciences,2024-07-01,10.1016/j.xphs.2024.04.002
Iterative matheuristic for the biomedical sample transportation problem,"This paper proposes an iterative matheuristic for solving the biomedical sample transportation problem (BSTP), which is a routing problem with multiple and interdependent visits in the context of healthcare services. In this problem, the biomedical samples are collected from individuals at a set of healthcare or specimen collection centers and must be transported to designated laboratories to be analyzed. The perishable nature of the specimens forces to visit the collection centers more than once a day to ensure that the time from the moment they are drawn to the arrival at the laboratory do not exceed the samples lifespan. Also, a visit to one center imposes (1) a limit on the duration of the route that transports its samples to the laboratory, and (2) a limit on the latest time at which the same center must be visited again, creating an interdependency between visits, routes and the decision concerning the centers’ opening times. This paper first proposes a mathematical formulation to model the BSTP. Since this formulation is not able to solve medium or large sized instances efficiently, it also proposes an iterative matheuristic, which includes two main steps. The first step produces an approximated solution to the BSTP by a decomposition approach that splits the problem into a series of smaller subproblems that are solved by the proposed mathematical formulation. In the second step, two fix-&-optimize strategies are used with the mathematical formulation to perform a local search around the solutions produced by the decomposition method. The matheuristic has demonstrated its efficiency solving a rich set of real-life instances corresponding to the needs of several regions in the province of Quebec, Canada, in a fraction of the time required to solve the exact mathematical formulation.",Computers and Industrial Engineering,2024-06-01,10.1016/j.cie.2024.110196
Revolutionizing healthcare 5.0: Blockchain-driven optimization of drone-to-everything communication using 5G network for enhanced medical services,"The healthcare industry has witnessed a notable surge in the adoption of drone technology for the swift and efficient transportation of vital medical supplies. In the expansive and uncontrolled realm where drones operate, challenges arise concerning authentication and secure data sharing. In the era of Healthcare 5.0, characterized by the integration of cutting-edge technologies, this article explores a groundbreaking approach to revolutionize medical services through the synergy of blockchain technology, drone-to-everything (D2X) communication, and the upcoming 5G network that provides enhanced broadband, extra reliable, low latency communication and massive machine type communication. This research addresses the critical task of delivering medical supplies using drone technology, focusing on ensuring the security, reliability and demand for a large storage capacity during the transportation of sensitive items. This research introduces an optimized communication link by using a blockchain network and the Internet of Things (IoT). To achieve such a goal two different algorithms are introduced and three different scenarios are implemented to include all possibilities in real applications. Three potential routes for data transmission, drone to drone, drone to ground user devices, and drone to base station, are explored to enhance communication efficiency. The contribution lies in optimizing the communication link to ensure a low bit error rate (BER), high signal-to-interference noise ratio (SINR) and maintain fixed signal power during data transmission. The outcomes of this study have significant implications for advancing healthcare logistics through the integration of cutting-edge technologies. The performance of the proposed method has been proven by simulations using parametric measurements.",Technology in Society,2024-06-01,10.1016/j.techsoc.2024.102552
The Metaheuristic Optimization Techniques in Text Classification,"Metaheuristic algorithms, inspired by natural phenomena and human-based strategies, offer versatile approaches to navigate diverse search spaces and adapt to dynamic environments. These algorithms, including evolutionary algorithms, swarm intelligence, bio-inspired methods, human-based approaches, and plant-inspired techniques, have found applications across diverse domains such as engineering, finance, healthcare, logistics, and telecommunications. In the text classification domain, metaheuristic techniques have emerged as powerful tools to enhance the accuracy, efficiency, and robustness of classification systems. By optimizing feature subsets, fine-tuning model parameters, and addressing challenges such as feature selection, dimensionality reduction, class imbalance, and noisy data, metaheuristic algorithms provide flexible solutions that adapt to various text datasets and tasks. This review paper comprehensively explores recent advancements in metaheuristic applications in text classification across six categories. From evolutionary-based methods to swarm-based approaches, bio-inspired techniques to physics/chemistry-based strategies, human-based methods to plant-based algorithms, researchers have leveraged diverse metaheuristic techniques to push the boundaries of text classification. Through a systematic analysis of recent research studies, this review provides insights into the strengths, limitations, and future directions of metaheuristic optimization in the context of text classification.",International Journal of Computational and Experimental Science and Engineering,2024-04-29,10.22399/ijcesen.295
Handling uncertainty in the specification of autonomous multi-robot systems through mission adaptation,"Multi-robot systems (MRS) have gained interest as a versatile paradigm for complex task execution across various domains such as healthcare, logistics, and maintenance. Often, they are called to operate in variable and dynamic environments, which makes uncertainties arise and affect those systems. Uncertainties require the system to be able to adapt its behavior at runtime, in response to the changing and unpredictable conditions in its operating environment. Moreover, often the behavior of the robots cannot be completely anticipated at design time. Consequently, static mission planning is not always suitable: mission specifications need to take into account the uncertainties and, hence, be dynamic and re-configurable at runtime, when the required knowledge is available.This work focuses on the realization of adaptable multi-robot systems, which are capable of dealing with uncertainties by adapting their mission at runtime. We introduce the concept of ""adaptable task"" that is used in the global mission specification of the MRS to identify the mission tasks affected by uncertainties. Adaptation alternatives are modeled as sub-missions and associated with the adaptable task. At runtime, ad hoc written ""trigger functions"" executed by robots sense and evaluate the environment and select the most suitable adaptation alternative to be executed.We have experimented with the approach by simulating a use case to assess its validity. The system was able to adapt its behavior in response to the environmental conditions, thus allowing the fulfillment of the mission goals. We also discuss the applicability of the use case on a set of known single- and multi-robot systems.","Proceedings - 2024 IEEE/ACM 19th Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2024",2024-04-15,10.1145/3643915.3644099
Home healthcare in Spanish rural areas: Applying vehicle routing algorithms to health transport management,"Depopulation of rural areas poses a range of new challenges for the provision of public services. Access to primary care centres is essential for promoting and protecting quality of life, especially for the older population. However, many rural municipalities face abandonment from public administrations by not even having a local clinic and forcing their dwellers to drive to the nearest facility. This research examines the adequacy of providing home healthcare (HHC) systems in such areas to avoid unnecessary trips. When designing routes to provide these services, decision-makers must take into account the following: (i) wide geographical spread of places to visit; (ii) difficulty in accessing some of these places with heavy medically equipped vehicles; and (iii) uncertainty regarding places to visit and availability of professionals. Our study identifies municipalities in which the travelling distance to the closest centre is above a desirable threshold, estimating the magnitude of the problem. Then, we provide an illustrative example in which an agile methodology is presented to design efficient routes that allow policymakers to offer HHC services of reasonable quality.",Socio-Economic Planning Sciences,2024-04-01,10.1016/j.seps.2024.101828
The Wings of Wellness: Autonomous Medical Delivery Drones Enhancing Patient Care and Accessibility,"This paper represents the advent of drones, that has rushed in a new era in healthcare logistics by providing a swift and efficient means of medical supply delivery. Access to timely medical supplies is often hampered by traffic congestion, geographical barriers, and unpredictable emergencies. Drones that transport pharmaceuticals have come to be considered as an ideal solution to these issues of concern. By leveraging cutting-edge technology, these autonomous flying machines are capable of transporting medical essentials, such as medications, vaccines, blood samples, and even life-saving equipment, to remote and underserved areas with unparalleled speed and precision. The advantages of using drones, such as reduced transportation time, cost-effectiveness, and minimized human contact during the pandemic, which has been crucial in curbing disease transmission. The future of healthcare delivery is poised to be significantly transformed by medical delivery drones. These innovative aerial vehicles have the potential to bridge healthcare disparities, enhance emergency response, and save countless lives. As technology advances and regulations evolve, the integration of medical delivery drones into healthcare ecosystems will continue to evolve, offering hope for improved healthcare access and outcomes across the globe","Proceedings of 9th International Conference on Science, Technology, Engineering and Mathematics: The Role of Emerging Technologies in Digital Transformation, ICONSTEM 2024",2024-01-01,10.1109/ICONSTEM60960.2024.10568822
Optimization of Healthcare Process Management Using Machine Learning,"Healthcare management plays a crucial role in ensuring the efficient delivery of healthcare services. This responsibility encompasses strategic planning, resource management, and regulatory compliance to enhance patient care outcomes. In this paper, we delve into the multifaceted nature of healthcare management, highlighting the expertise required to optimize processes within dynamic healthcare environments. Furthermore, we explore the potential of machine learning in addressing operational challenges within healthcare. By examining various machine learning algorithms, we identify their advantages and limitations, proposing a structured method of application. Through this analysis, we aim to illuminate how machine learning can minimize patient waiting times and optimize overall healthcare operations. This inspection aims to elucidate how machine learning methodologies can mitigate patient wait times and refine overall healthcare logistics. By amalgamating cutting-edge technologies with strategic methodologies, healthcare entities can leverage the transformative capabilities of machine learning to enhance operational efficiency and elevate the delivery of patient care.",IFIP Advances in Information and Communication Technology,2024-01-01,10.1007/978-3-031-63211-2_15
Fractal-Based N-Environment Multi-Agent IoT System Reliability,"The tremendous growth of Internet of Things (IoT) systems and the popularity of distributed systems, which were brought back into fashion by containerisation, create new challenges for system maintenance. Each IoT-specific service is characterised by a specific domain, or environment, making the maintenance of distributed IoT systems with dozens of agents a challenging task. This paper proposes a fractal-based mathematical model, called the fractal multi-agent IoT system (FMAIS), for scalable multi-agent systems (e.g. cloud-native services, wide-scale IoT services). A reliability estimation model called the multi-environment enhanced real-time customer-oriented reliability estimation (ME-ERT-CORE) model is proposed as a method for estimating the reliability of a multi-agent IoT system, where each agent can be specified by its own domain-specific environment (e.g. healthcare, logistics, smart factories, etc.). An estimation of the time complexity of the FMAIS is performed, and a model called ME-ERT-CORE for estimating its reliability is formulated. The results show that the FMAIS can be used for real-time simulations of system behaviour and ME-ERT-CORE can be used for the real-time estimation of its reliability, monitoring purposes, and, for instance, quality of service (QoS) descriptions based on service level agreement (SLA) requirements. The conducted measurements show that the reliability of the FMAIS with 4 layers and 96 applications, where each application deploys 96 instances, can be computed in 8.022 milliseconds. With the proposed optimisation method, the reliability for the same FMAIS can be computed in 0.219 milliseconds, which is 36 times faster than the ME-ERT-CORE reliability evaluation based on the definition. An FMAIS with the aforementioned parameters can be simulated in 84.300 milliseconds.",IEEE Internet of Things Journal,2024-01-01,10.1109/JIOT.2024.3398406
Medrone,"In order to address the pressing healthcare challenges faced by isolated communities in remote regions, this project proposes the development of an innovative Unmanned Aerial Vehicle (UAV) with a focus on autonomous navigation, advanced object detection, and collision avoidance systems for efficient and reliable delivery of life-saving medicines and equipment. The UAV will be equipped with autonomous navigation capabilities, allowing it to operate without direct human intervention. This is particularly crucial in regions lacking proper infrastructure, where manual control may be impractical. The autonomous system will utilize GPS technology to ensure precise navigation and route planning, optimizing the efficiency of medical deliveries. To enhance the UAV's capability to operate in unpredictable environments, object detection systems will be integrated. This technology will enable the UAV to identify and navigate around obstacles such as trees, buildings, or uneven terrain. Utilizing a combination of cameras and ultrasonic sensors, the UAV will continuously scan its surroundings, making real-time decisions to avoid collisions and ensure a safe and reliable delivery path. The UAV's collision avoidance system will go beyond simple obstacle detection by actively predicting potential collision scenarios and taking preventive measures. This real-time decision-making process will be essential for navigating through challenging geographical landscapes like mountains and forests. In addition to its navigation and obstacle avoidance capabilities, the UAV will be equipped with a package deployment mechanism. This system will allow for the precise and controlled release of medical supplies at designated delivery points, ensuring that essential resources reach their intended destinations accurately and safely. By combining these cutting-edge technologies, the proposed UAV aims to revolutionize healthcare logistics in hard-to-reach areas, providing timely and efficient delivery of medical supplies to communities in need. This project not only addresses the immediate healthcare challenges but also contributes to the overall improvement of public health in isolated regions, promoting the well-being of women and the elderly who are disproportionately affected by the lack of accessible medical care.","Proceedings of ICWITE 2024: IEEE International Conference for Women in Innovation, Technology and Entrepreneurship",2024-01-01,10.1109/ICWITE59797.2024.10503579
