Title,Abstract,Journal,Publishing Date,DOI,Label
Bridging the Performance Gap Between Two-Way and One-Way CSI-Based 5 GHz WiFi Ranging,"Indoor Localization is gaining increased importance due to numerous location-based services in healthcare, logistics, and security, to name few, that are expected to be provided by next-generation wireless networks. Such services are characterized by stringent accuracy requirements, short response time, and lower cost which makes the localization problem more challenging and deserving of attention. A key element of the localization process is distance estimation (also known as ranging). In this paper, we design and analyze an efficient decimeter-level two-way ranging scheme for ubiquitous WiFi networks in the 5 GHz frequency band whose accuracy approaches ideal one-way ranging with no phase mismatches. We investigate the idea of channel frequency response (CFR) stitching across non-contiguous WiFi channels and how two-way CFR measurements help in achieving the CFR coherency necessary for accurate ranging. In addition, we quantify the decrease in ranging accuracy of two-way compared to one-way ranging due to SNR degradation, Line-of-Sight (LoS) component shrinkage, and doubling the multipath delay spread. Furthermore, We design a novel scheme to bridge the performance gap between two-way ranging and ideal one-way ranging which operates in three main steps: square-root of the two-way CFR, followed by phase unwrapping, and finally deep fade detection and phase errors correction. Our proposed scheme achieves significant performance gains over two-way ranging with only a slight performance gap from ideal one-way ranging. Moreover, our proposed scheme enjoys robustness as it preserves the ranging accuracy gains in various WiFi communication scenarios when operating at different SNR levels, different multipath channel models, and different CFR bandwidths, as well as operating under system impairments such as Sample Timing Offset (STO). The accuracy gains achieved by the proposed schemes are demonstrated using both simulations and an in-house WiFi testbed. Finally, we quantify the added complexity of our proposed scheme and show it to be insignificant compared to that of the MUSIC super-resolution ranging steps which confirms the practical viability of our proposed scheme.",IEEE Access,01/01/2023,10.1109/ACCESS.2023.3287850,1
A fuzzy multi-criteria decision analysis approach for risk evaluation in healthcare logistics outsourcing: Case of Morocco,"Public–private partnerships in emerging countries are gradually considered a tool for growth development. One particular public–private partnership is that of outsourcing logistics in the healthcare sector. These partnerships provide several benefits for both private and public sectors but are generally associated with numerous risks that must be evaluated and subsequently managed. The aim in this paper is to develop a risk evaluation approach to rank risks when decision makers’ judgment is taken into consideration and where traditional risk evaluation techniques become less applicable. The proposed approach makes use of fuzzy multi-criteria decision analysis methods since they are efficient techniques to rank alternatives based on selected evaluation criteria and can accommodate human judgment and preferences. The approach treats predetermined risks like alternatives, and evaluation criteria are represented by areas of impact of the risks. To validate the approach, we applied it to a real case of logistics outsourcing to private service providers in a Moroccan public pharmaceutical supply chain. The ranking results obtained show that the two methods lead to some differences in ranking but are highly correlated. The obtained results support healthcare policy makers in setting priorities to effectively deploy preventive and mitigation efforts.",Health Services Management Research,01/08/2020,10.1177/0951484820901668,0
Enabling process support for advanced applications with the aristaflow BPM suite,"A process-aware information system (PAIS) will be not accepted by end users if its software clients do not support their native workows or are too complex for them. When implementing business processes based on process management technology important issues are, therefore, how end-users can participate in the execution of the processes and how this can be accomplished as intuitively as possible. This becomes extremely important if high exibility demands need to be fulfilled during process execution, while PAIS robustness and error safety need to be assured. In this software demonstration we show how the AristaFlow BPM Suite { an adaptive process management system developed by us { was applied to challenging applications in domains like healthcare, logistics, disaster management, and software development. The implementation of adaptive software clients in these different applications particularly proves the benefits provided by an open application programming interface (API) as offered by AristaFlow.",CEUR Workshop Proceedings,01/12/2010,,1
Intellectual property issues in artificial intelligence: Specific reference to the service sector,"Artificial intelligence (AI) has transformed almost every field of the service sector, such as finance, healthcare logistics, automotive and aviation. The innovative technologies can identify uneven patterns like spam filtering or payment deceit, and make aware businesses in actual time about questionable activities, hence are helpful in the growth of a market. These innovation and creation are protected under different forms of intellectual property (IP). However, the transformation from AI related inventions to AI lead inventions has raised substantial challenges to the existing IP infrastructure. This study aims at looking into different aspects of AI related IP protection with an elaborative analysis of the patenting trends through landscape analysis of AI in the service sector. It is observed that AI is playing a pivotal role in the transformation of the service sector due to its accelerating use. But the issues related to legal and ethical need to be addressed for effective utilisation of AI related invention and creation in the service sector.","International Journal of Technological Learning, Innovation and Development",01/01/2021,10.1504/IJTLID.2021.114920,1
From network approach to ecosystem approach: A new framework for change management,"The actual change management models drawn from literature are focused only on the perspective of a single organisation. This perspective is not coherent with the new business scenario created by the pervasive use of digital technologies, which requires a new way to deal with organizational change. In particular, organizations have to manage change in a collaborative way, reflecting a progressive shift from a network to an ecosystem approach. Starting from this perspective, this paper aim to present a change on management framework in order to manage innovation within a complex digital ecosystem of actors. Coherently with this goal, the proposed framework will be articulated in a series of phases that have to be considered in the change process within an ecosystem. For each phase, the research will present the most common issues faced by organizations together with the corresponding change management actions. These actions are categorized in short-term and long-term. Moreover, the paper provides a set of indicators that can be used to monitor the effectiveness of the various change management actions. Finally, the validity of the change management framework will be proved thanks to its application in a project of digital innovation in healthcare domain. This analysis will provide a concrete example on how change management can be accomplished throughout a specific digital ecosystem.","Proceedings of the European Conference on Innovation and Entrepreneurship, ECIE",01/01/2021,10.34190/EIE.21.077,1
Challenges for the Routine Application of Drones in Healthcare: A Scoping Review,"Uncrewed aerial vehicles (UAVs), commonly known as drones, have emerged as transformative tools in the healthcare sector, offering the potential to revolutionize medical logistics, emergency response, and patient care. This scoping review provides a comprehensive exploration of the diverse applications of drones in healthcare, addressing critical gaps in existing literature. While previous reviews have primarily focused on specific facets of drone technology within the medical field, this study offers a holistic perspective, encompassing a wide range of potential healthcare applications. The review categorizes and analyzes the literature according to key domains, including the transport of biomedical goods, automated external defibrillator (AED) delivery, healthcare logistics, air ambulance services, and various other medical applications. It also examines public acceptance and the regulatory framework surrounding medical drone services. Despite advancements, critical knowledge gaps persist, particularly in understanding the intricate interplay between technological challenges, the existing regulatory framework, and societal acceptance. This review highlights the need for the extensive validation of cost-effective business cases, the development of control techniques that can address time and resource savings within the constraints of real-life scenarios, the design of crash-protected containers, and the establishment of corresponding tests and standards to demonstrate their conformity.",Drones,01/12/2023,10.3390/drones7120685,0
Emerging Frontiers in Industrial and Systems Engineering: Success Through Collaboration,"Success is driven through collaboration. The field of Industrial and Systems Engineering has evolved as a major engineering field with interdisciplinary strength drawn from effective utilization, process improvement, optimization, design, and management of complex systems. It is a broad discipline that is important to nearly every attempt to solve problems facing the needs of society and the welfare of humanity. In order to carry this forward, successful collaborations are needed between industry, government, and academia. This book brings together an international group of distinguished practitioners and academics in manufacturing, healthcare, logistics, and energy sectors to examine what enables successful collaborations. The book is divided into two key parts: 1) partnerships, frameworks, and leadership; and 2) engineering applications and case studies. Part I highlights some of the ways partnerships emerge between those seeking to innovate and educate in industrial and systems engineering, some useful frameworks and methodologies, as well as some of the ideas and practices that undergird leadership in the profession. Part II provides case studies and applications to illustrate the power of the partnerships between academia and practice in industrial and systems engineering.",Emerging Frontiers in Industrial and Systems Engineering: Success Through Collaboration,13/06/2019,10.1201/9780429488030,0
L'impartition des activités logistiques dans le secteur de la santé: les leçons d'une expérience canadienne,"Logistics activities are seen by many healthcare organizations as an opportunity for financial savings. The level of logistics complexity in these organizations may explain the challenges they face in applying solutions common in other industries. This case study of a medical-supply distribution outsourcing initiative to a logistics services provider by a group of hospitals in a region of Canada helps elucidate this complexity. The objective of this article is to identify the dissonances between various points of view in order to articulate lessons for managers while taking into account the specifics of the healthcare sector. By examining information from several sources, this study shows the necessity of: 1) setting objectives and managing expectations in order to maintain the interest and participation of stakeholders throughout the project; 2) updating internal logistics processes prior to outsourcing; 3) carefully considering a gradual transition phase by ensuring short-term benefits for both partners; 4) requiring problem-solving skills as a selection criterion for the logistics services provider to ensure continuous improvement in the performance of the outsourced activity; and 5) developing a governance accountability framework to support problem solving between all parties involved. Copyright © 2018 ASAC. Published by John Wiley & Sons, Ltd.",Canadian Journal of Administrative Sciences,01/12/2018,10.1002/cjas.1470,1
Paving the way for warehouse centralization in healthcare: A preliminary assessment approach,"Centralized logistics management is currently one interesting option for healthcare systems facing an increasing need to improve responsiveness and service quality while reducing costs. This work focuses on one aspect of centralized logistics, namely warehouse centralization and proposes a preliminary approach to assess material management in healthcare institutions as a first step towards decisions about the implementation of such a strategy. A list of variables and relationships between them characterizing warehouse material management are identified based on a literature review and knowledge of real logistics processes. Statistical analysis is then applied to assess the existence of such relationships in a set of healthcare organizations in order to understand the management commonalities that can stimulate warehouse centralization as well as the criticalities that could potentially hinder it. The approach is tested in a healthcare logistics system in Northern Italy. The results proved the ability of the methodology to identify the relevant issues the involved institutions need to work on when undertaking warehouse centralization strategies. The case warehouses revealed a good degree of commonalities in their management practices although three critical aspects were identified, namely a limited efficiency in human resource allocation, a high fragmentation of stock product demand and a relevant number of stock products with low annual demand. This work provides a methodology to increase material managers’ awareness about the factors enabling successful centralized inventory strategies in the healthcare sector.",American Journal of Applied Sciences,05/05/2016,10.3844/ajassp.2016.490.500,1
Revolutionizing healthcare 5.0: Blockchain-driven optimization of drone-to-everything communication using 5G network for enhanced medical services,"The healthcare industry has witnessed a notable surge in the adoption of drone technology for the swift and efficient transportation of vital medical supplies. In the expansive and uncontrolled realm where drones operate, challenges arise concerning authentication and secure data sharing. In the era of Healthcare 5.0, characterized by the integration of cutting-edge technologies, this article explores a groundbreaking approach to revolutionize medical services through the synergy of blockchain technology, drone-to-everything (D2X) communication, and the upcoming 5G network that provides enhanced broadband, extra reliable, low latency communication and massive machine type communication. This research addresses the critical task of delivering medical supplies using drone technology, focusing on ensuring the security, reliability and demand for a large storage capacity during the transportation of sensitive items. This research introduces an optimized communication link by using a blockchain network and the Internet of Things (IoT). To achieve such a goal two different algorithms are introduced and three different scenarios are implemented to include all possibilities in real applications. Three potential routes for data transmission, drone to drone, drone to ground user devices, and drone to base station, are explored to enhance communication efficiency. The contribution lies in optimizing the communication link to ensure a low bit error rate (BER), high signal-to-interference noise ratio (SINR) and maintain fixed signal power during data transmission. The outcomes of this study have significant implications for advancing healthcare logistics through the integration of cutting-edge technologies. The performance of the proposed method has been proven by simulations using parametric measurements.",Technology in Society,01/06/2024,10.1016/j.techsoc.2024.102552,0
